name,longitude_trench,latitude_trench,longitude_arc,latitude_arc,age,ridge_trench_angle_Φ,ridge_convergence_angle_α,migration_rate
Copiapo R.,-71.97811585633698,-25.41629309567653,-68.94676679137395,-25.08957962235126,9.0,10.7969011976527,5.173385527461798,1.243649143207202
Copiapo R.,-72.05611120841711,-25.67776766247785,-69.04881266620097,-25.575412904092445,10.0,6.401969183949603,9.701543103101663,2.3418488881021022
Copiapo R.,-72.13484935179196,-26.005621786194133,-69.13454784966655,-26.001179273903603,11.0,6.552919831373316,7.9777859170288785,1.4650097875656265
Copiapo R.,-72.21943021636179,-26.42362096613052,-69.24507192557779,-26.611709817542728,12.0,3.2620667226675835,15.221635452239752,3.022850945466788
Copiapo R.,-72.31056725332262,-26.72343901834963,-69.32483454415114,-26.828892145910064,13.0,5.486195795983704,17.668540830660717,4.024763517376765
Copiapo R.,-72.39623655204835,-26.9880883679061,-69.33483964360191,-26.53039522464736,14.0,15.785369986218598,8.308659072198978,2.2692574487337733
Copiapo R.,-72.48292874923486,-27.266078543552226,-69.42868516036333,-26.857845385727284,15.0,15.460494975637404,6.842328146248865,1.935488437737613
Copiapo R.,-72.37614223789951,-25.185517343988604,-69.37101333830466,-23.18555054590938,16.0,36.77187967355203,21.832048995491203,7.684836645365779
Copiapo R.,-72.44946813643305,-23.069225930545496,-70.08105267906713,-19.928897456838257,17.0,46.17535601387473,42.12383857779198,15.907278131159302
Copiapo R.,-72.71370444001674,-20.9495654525726,-71.01736097861425,-18.728475664885423,18.0,28.30256058898633,45.00421699177359,12.440154918212931
Copiapo R.,-73.35781708362177,-19.81622563735749,-71.85985464090363,-18.003690748581267,19.0,16.51716554303225,44.31151259037853,10.961954888315653
Copiapo R.,-73.88664789175044,-19.181926282736782,-72.2961320000671,-17.66212985498902,20.0,7.090993229252447,37.327097087674936,9.795792955022211
Copiapo R.,-74.39301024036318,-18.65459851431244,-72.60494770052291,-17.402504904931202,21.0,3.7500401620163615,30.89843496933204,7.919780650836721
Copiapo R.,-74.96013835041371,-18.170550828205823,-72.90872445040777,-17.13563047343709,22.0,13.082598712999626,29.30252174148781,6.640891894008245
Copiapo R.,-75.31966954501358,-17.948512425188525,-73.04519493856266,-17.061675253362306,23.0,18.09655714275658,23.47512377243035,5.510270653784924
Copiapo R.,-74.98022142272549,-18.3175736838924,-72.63445028924137,-17.67226836151304,24.0,23.65848203538239,5.230644490402992,1.17208019821152
Copiapo R.,-74.69393304076776,-18.746887421336485,-72.20500836158348,-18.20617211469578,25.0,24.893844836387487,1.4142606583882662,0.3159812076889086
Copiapo R.,-74.45012974324527,-19.21319756411053,-71.80659691783029,-18.72457188644691,26.0,23.79999562813421,0.797491801223385,0.179635636466576
